t x1 x2 u1
0.0 -2.0 1.0 1.0
0.01 -1.9798000033333332 1.019999331666667 1.0
0.02 -1.9592000535327743 1.0399946401008342 1.0
0.03 -1.9382002715922428 1.0599818658115152 1.0
0.04 -1.9168008600879247 1.0799569101337876 1.0
0.05 -1.8950021039574696 1.099915635658921 1.0
0.06 -1.872804371270464 1.119853866676614 1.0
0.07 -1.8502081139899402 1.1397673896293747 1.0
0.08 -1.8272138687246744 1.1596519535790757 1.0
0.09 -1.8038222574720322 1.17950327068571 1.0
0.1 -1.7800339883511165 1.1993170166983778 1.0
0.11 -1.7558498563259741 1.2190888314585244 2.0
0.12 -1.731371076418614 1.2287644873321217 2.0
0.13 -1.7067002750947873 1.238290403512128 2.0
0.14 -1.6818404813380363 1.2476631603805324 2.0
0.15 -1.6567947925611717 1.2568793347366118 2.0
0.16 -1.631566374671418 1.2659355004489883 2.0
0.17 -1.6061584621224456 1.2748282291148265 2.0
0.18 -1.5805743579531506 1.2835540907261151 2.0
0.19 -1.5548174338130352 1.2921096543429655 2.0
0.2 -1.528891129974056 1.3004914887738657 2.0
0.21 -1.502798955328795 1.3086961632628202 2.0
0.22 -1.4765444873748217 1.3167202481833105 2.0
0.23 -1.4501313721851077 1.324560315738999 2.0
0.24 -1.42356332436436 1.3322129406711116 2.0
0.25 -1.3968441269911416 1.3396747009724173 2.0
0.26 -1.3699776315456453 1.3469421786077294 2.0
0.27 -1.3429677578229946 1.354011960240851 3.0
0.28 -1.315918826331942 1.3508308058845473 3.0
0.29 -1.2889365488620317 1.3473461634147827 3.0
0.3 -1.262027018734859 1.3435556831384186 3.0
0.31 -1.2351963758887032 1.3394570532209047 3.0
0.32 -1.2084508061129062 1.335048000531442 3.0
0.33 -1.18179654026534 1.3303262914888632 3.0
0.34 -1.1552398534729507 1.32528973290806 3.0
0.35000000000000003 -1.1287870643153688 1.3199361728468022 3.0
0.36 -1.1024445339915823 1.3142635014527764 3.0
0.37 -1.0762186654696673 1.3082696518106753 3.0
0.38 -1.0501159026195774 1.3019526007891729 3.0
0.39 -1.0241427293289973 1.2953103698876094 3.0
0.4 -0.9983056686022651 1.2883410260822166 3.0
0.41000000000000003 -0.9726112816423788 1.2810426826717054 3.0
0.42 -0.9470661669160965 1.2734135001220412 3.0
0.43 -0.9216769592021516 1.2654516869102297 3.0
0.44 -0.8964503286226051 1.2571555003669306 3.0
0.45 -0.8713929796573555 1.2485232475177228 3.0
0.46 -0.8465116501418417 1.2395532859228342 3.0
0.47000000000000003 -0.8218131102479668 1.2302440245151538 3.0
0.48 -0.7973041614482799 1.2205939244363397 4.0
0.49 -0.7730919679634571 1.2005516677875032 4.0
0.5 -0.749285046376321 1.1800666722355984 2.0
0.51 -0.7256915899281939 1.17923826983128 3.0
0.52 -0.7022174837806577 1.1681146828786826 3.0
0.53 -0.6789693132109524 1.156644510977246 3.0
0.54 -0.6559540217914738 1.1448265763947854 3.0
0.55 -0.6331785760699724 1.1326597594630057 3.0
0.56 -0.6106499644001849 1.1201429993861087 3.0
0.5700000000000001 -0.5883751957563282 1.10727529504569 3.0
0.58 -0.5663612985315348 1.0940557058017317 3.0
0.59 -0.5446153193203096 1.08048335228949 3.0
0.6 -0.523144321685091 1.0665574172120733 3.0
0.61 -0.5019553849070053 1.0522771461285105 3.0
0.62 -0.48105560272090764 1.0376418482371077 3.0
0.63 -0.4604520820348024 1.022650897153884 3.0
0.64 -0.4401519416337482 1.007303731685883 3.0
0.65 -0.4201623108683479 0.9915998565991543 3.0
0.66 -0.4004903283279348 0.9755388433811932 3.0
0.67 -0.3811431404985674 0.9591203309976346 3.0
0.68 -0.36212790040594867 0.942344026642987 3.0
0.6900000000000001 -0.34345176624339274 0.925209706485198 3.0
0.7000000000000001 -0.3251218999849634 0.9077172164038387 3.0
0.71 -0.30714546598391446 0.8898664727216965 3.0
0.72 -0.2895296295565663 0.8716574629295589 3.0
0.73 -0.27228155555175604 0.8530902464039791 3.0
0.74 -0.25540840690600475 0.8341649551178053 3.0
0.75 -0.2389173431845484 0.8148817943432584 3.0
0.76 -0.22281551910838315 0.7952410433473435 3.0
0.77 -0.207110083067481 0.7752430560793775 3.0
0.78 -0.1918081756203358 0.7548882618504148 3.0
0.79 -0.17691692798000333 0.7341771660043537 3.0
0.8 -0.1624434604868042 0.7131103505805051 3.0
0.81 -0.14839488106786278 0.6916884749674046 3.0
0.8200000000000001 -0.13477828368365935 0.6699122765476476 4.0
0.8300000000000001 -0.12170107926177683 0.6377327392501956 4.0
0.84 -0.10927198480122448 0.6051016079512513 4.0
0.85 -0.09750001216327926 0.5720209029127682 4.0
0.86 -0.08639413169844881 0.5384927550649874 4.0
0.87 -0.07596327002624084 0.504519406690356 4.0
0.88 -0.06621630780140886 0.47010321209193656 4.0
0.89 -0.05716207746698717 0.4352466382460181 4.0
0.9 -0.048809360994434094 0.3999522654386385 4.0
0.91 -0.04116688761120796 0.364222787885729 4.0
0.92 -0.034243331516106486 0.3280610143365913 4.0
0.93 -0.02804730958270564 0.29146986866041863 4.0
0.9400000000000001 -0.02258737905124008 0.2544523904155718 4.0
0.9500000000000001 -0.017872035209272875 0.21701173540132399 4.0
0.96 -0.0139097090615081 0.1791511761917852 4.0
0.97 -0.010708764989105472 0.1408741026517219 4.0
0.98 -0.008277498398862066 0.10218402243398472 4.0
0.99 -0.006624133362631737 0.06308456145826027 4.0
1.0 -0.005756820247358656 0.02357946437086273 4.0
