t x1 x2 u1
0.0 -2.0 1.0 1.0
0.01 -1.9798000033333332 1.019999331666667 1.0
0.02 -1.9592000535327743 1.0399946401008342 1.0
0.03 -1.9382002715922428 1.0599818658115152 1.0
0.04 -1.9168008600879247 1.0799569101337876 1.0
0.05 -1.8950021039574696 1.099915635658921 1.0
0.06 -1.872804371270464 1.119853866676614 1.0
0.07 -1.8502081139899402 1.1397673896293747 1.0
0.08 -1.8272138687246744 1.1596519535790757 1.0
0.09 -1.8038222574720322 1.17950327068571 1.0
0.1 -1.7800339883511165 1.1993170166983778 2.0
0.11 -1.7559501888259743 1.209038999375191 2.0
0.12 -1.7316733971018101 1.21861567277344 2.0
0.13 -1.7072065532097127 1.228043651599325 2.0
0.14 -1.6825526649290594 1.2373195464238849 2.0
0.15 -1.657714807863833 1.2464399643227149 2.0
0.16 -1.6326961255060746 1.255401509522814 2.0
0.17 -1.6074998292863274 1.2642007840565055 2.0
0.18 -1.582129198610933 1.2728343884223732 2.0
0.19 -1.5565875808860392 1.281298922253146 2.0
0.2 -1.5308783915281796 1.2895909849904692 2.0
0.21 -1.5050051139612926 1.2977071765664974 2.0
0.22 -1.4789712996000364 1.305644098092237 2.0
0.23 -1.452780567819275 1.3133983525525705 2.0
0.24 -1.4264366059095943 1.32096654550789 2.0
0.25 -1.3999431690187214 1.328345285802263 2.0
0.26 -1.3733040800787157 1.3355311862780568 2.0
0.27 -1.3465232297188023 1.34252086449694 2.0
0.28 -1.3196045761637252 1.3493109434671837 2.0
0.29 -1.2925521451174888 1.3558980523771749 2.0
0.3 -1.26537002963237 1.3622788273350608 3.0
0.31 -1.2381627224630767 1.3584000800311027 3.0
0.32 -1.2110361065891269 1.3542093122639687 3.0
0.33 -1.183996445421084 1.3497042305201599 3.0
0.34 -1.1570500478399395 1.3448825814130891 3.0
0.35000000000000003 -1.1302032673860116 1.3397421525392952 3.0
0.36 -1.1034625014307198 1.334280773335023 3.0
0.37 -1.0768341903312209 1.3284963159330034 3.0
0.38 -1.0503248165679122 1.32238669601926 3.0
0.39 -1.0239409038647989 1.3159498736897746 3.0
0.4 -0.9976890162927299 1.3091838543068366 3.0
0.41000000000000003 -0.971575757355513 1.302086689354897 3.0
0.42 -0.9456077690589179 1.2946564772957578 3.0
0.43 -0.9197917309625843 1.2868913644229094 3.0
0.44 -0.8941343592148536 1.278789545714843 3.0
0.45 -0.8686424055705452 1.270349265687152 3.0
0.46 -0.8433226563917049 1.261568819243241 3.0
0.47000000000000003 -0.8181819316313551 1.2524465525234554 3.0
0.48 -0.793227083800279 1.2429808637524473 3.0
0.49 -0.7684649969168761 1.2331702040845887 3.0
0.5 -0.743902585440133 1.2230130784472413 3.0
0.51 -0.7195467931857487 1.2125080463816944 3.0
0.52 -0.6954045922254681 1.2016537228815751 3.0
0.53 -0.6714829817696744 1.1904487792285412 3.0
0.54 -0.6477889870332939 1.1788919438250565 3.0
0.55 -0.6243296580850798 1.1669820030240563 3.0
0.56 -0.6011120686803324 1.1547178019553017 3.0
0.5700000000000001 -0.5781433150771285 1.1420982453482262 3.0
0.58 -0.5554305148361298 1.129122298351071 3.0
0.59 -0.5329808056040487 1.1157889873461098 3.0
0.6 -0.5108013438808485 1.1020974007607582 3.0
0.61 -0.4888993037707661 1.0880466898743637 3.0
0.62 -0.4672818757172425 1.0736360696204705 3.0
0.63 -0.4459562652218556 1.0588648193843544 3.0
0.64 -0.4249296915473515 1.0437322837956156 3.0
0.65 -0.40420938640487436 1.028237873515625 3.0
0.66 -0.3838025926255013 1.0123810660196124 3.0
0.67 -0.36371656281619047 0.9961614063731834 3.0
0.68 -0.3439585580002564 0.9795785080030561 3.0
0.6900000000000001 -0.32453584624249 0.9626320534618029 3.0
0.7000000000000001 -0.3054557012590459 0.945321795186384 3.0
0.71 -0.2867254010122226 0.9276475562502573 3.0
0.72 -0.26835222629026634 0.9096092311088488 4.0
0.73 -0.25044379177233433 0.881156954254835 4.0
0.74 -0.23310903526195131 0.8522416147243368 4.0
0.75 -0.21635720660485402 0.8228643706430931 4.0
0.76 -0.20019753144078067 0.793026484619011 4.0
0.77 -0.184639209105843 0.7627293245384447 4.0
0.78 -0.16969141051910414 0.7319743643493161 4.0
0.79 -0.15536327605362768 0.7007631848307879 4.0
0.8 -0.14166391339227044 0.6690974743491995 4.0
0.81 -0.12860239536849624 0.6369790295999732 3.0
0.8200000000000001 -0.11608742529249425 0.6144595884185381 4.0
0.8300000000000001 -0.10412667657969525 0.5815404846353263 4.0
0.84 -0.09282879084942669 0.5481736487265851 4.0
0.85 -0.08220270086034813 0.514361287643387 4.0
0.86 -0.07225729411589775 0.4801057200675873 4.0
0.87 -0.06300141062308169 0.4454093770686832 4.0
0.88 -0.05444384063828561 0.4102748027446826 4.0
0.89 -0.04659332240043123 0.3747046548466962 4.0
0.9 -0.03945853985180615 0.33870170538696204 4.0
0.91 -0.03304812034690125 0.3022688412300148 4.0
0.92 -0.027370632349595764 0.2654090646667103 4.0
0.93 -0.022434583119035553 0.2281254939708194 4.0
0.9400000000000001 -0.018248416384556352 0.19042136393790235 3.0
0.9500000000000001 -0.014720177510009001 0.1623498584895118 3.0
0.96 -0.011756520464653933 0.13396359740111988 3.0
0.97 -0.009363715085243364 0.10526512296419821 3.0
0.98 -0.007547979480256318 0.0762570657755529 3.0
0.99 -0.006315478260181091 0.046942145096058006 3.0
1.0 -0.005672320760764847 0.017323169195172773 3.0
