Iteration x lambda
1 0.9249772273660736 0.9249772273660736
2 0.16498118878239432 0.7599960385836793
3 0.2922206352869241 0.4468514380255638
4 0.2655753003226068 0.23059413694841302
5 0.26757816201748275 0.13381477762299276
6 0.19815703446003696 0.08179088496209808
7 0.10005078811422918 0.02854394711952346
8 0.027844345896421707 0.01973012560830889
9 0.009598050969823912 0.012347290941544964
10 0.014504401933409294 0.013359992166306345
11 0.012699250801545547 0.010428435578710316
12 0.0033903058043394108 0.005108334262708181
